(-1683.5808, 507.9335, 0.0)|(-1649.0161, 494.3543, 0.0)
(-1649.0161, 494.3543, 0.0)|(-1547.9324, 509.6488, 0.0);(-1683.5808, 507.9335, 0.0)
(-1547.9324, 509.6488, 0.0)|(-1649.0161, 494.3543, 0.0);(-1576.2688, 466.2431, 0.0);(-1484.486, 526.0868, 0.0);(-1475.8921, 636.0632, 0.0)
(14.2251, 124.7546, 0.0)|(-36.6924, 160.2178, 0.0);(23.3811, 105.3237, 0.0);(50.9077, 172.7602, 0.0);(54.3168, 94.0638, 0.0)
(148.571, 26.1792, 0.0)|(149.2389, 8.5511, 0.0);(144.8084, 40.9964, 0.0);(54.3168, 94.0638, 0.0);(169.6995, 19.3582, 0.0)
(-449.415, -490.9782, 0.0)|(-419.4923, -515.7832, 0.0);(-463.618, -478.7087, 0.0)
(-395.0354, -536.2529, 0.0)|(-419.4923, -515.7832, 0.0);(-385.6957, -524.962, 0.0);(-396.3824, -550.7118, 0.0)
(728.4009, -204.3498, 0.0)|(723.436, -189.136, 0.0);(658.47, -306.7646, 0.0);(743.0394, -226.1462, 0.0);(755.663, -213.1954, 0.0);(710.779, -207.1607, 0.0);(782.9808, -112.9393, 0.0)
(362.3044, 48.6988, 0.0)|(253.8793, 123.5317, 0.0);(349.0352, 43.998, 0.0);(383.1768, 40.5676, 0.0)
(253.8793, 123.5317, 0.0)|(362.3044, 48.6988, 0.0);(241.9347, 119.3231, 0.0);(249.2873, 140.0166, 0.0);(383.1768, 40.5676, 0.0);(239.0515, 133.0605, 0.0)
(-357.1979, -816.9634, 0.0)|(-349.5726, -807.5943, 0.0);(-316.4272, -842.9346, 0.0);(-398.2693, -776.9464, 0.0)
(122.3998, 864.5412, 0.0)|(64.5916, 890.6048, 0.0);(257.5528, 770.4048, 0.0);(109.1973, 844.5766, 0.0)
(257.5528, 770.4048, 0.0)|(309.5613, 724.8696, 0.0);(122.3998, 864.5412, 0.0);(220.3053, 715.3243, 0.0)
(479.6797, 617.7271, 0.0)|(441.8422, 643.8853, 0.0);(528.3375, 584.2235, 0.0);(410.5392, 676.6506, 0.0);(514.1665, 668.2488, 0.0)
(528.3375, 584.2235, 0.0)|(479.6797, 617.7271, 0.0);(453.13, 485.6669, 0.0);(541.0168, 591.9819, 0.0);(431.5674, 629.2418, 0.0);(535.0834, 568.8574, 0.0);(580.6966, 671.8938, 0.0)
(608.4987, 527.7227, 0.0)|(535.0834, 568.8574, 0.0);(613.7084, 513.6035, 0.0)
(748.6165, 431.541, 0.0)|(734.8129, 430.2704, 0.0);(788.5468, 395.0285, 0.0);(755.9969, 441.4831, 0.0);(671.9174, 317.549, 0.0)
(848.0471, 363.9, 0.0)|(884.3817, 339.442, 0.0);(788.5468, 395.0285, 0.0);(878.9271, 353.021, 0.0);(842.5479, 378.0031, 0.0);(864.2774, 387.8658, 0.0)
(884.3817, 339.442, 0.0)|(910.0297, 322.0356, 0.0);(848.0471, 363.9, 0.0);(900.3338, 362.9948, 0.0);(899.9219, 346.7, 0.0);(878.9271, 353.021, 0.0)
(910.0297, 322.0356, 0.0)|(884.3817, 339.442, 0.0);(957.0956, 289.2239, 0.0);(873.1607, 266.5767, 0.0);(788.5468, 395.0285, 0.0)
(957.0956, 289.2239, 0.0)|(910.0297, 322.0356, 0.0);(970.0671, 271.5476, 0.0);(887.0479, 182.2296, 0.0)
(1018.8156, 243.2878, 0.0)|(970.0671, 271.5476, 0.0);(1043.0287, 232.3915, 0.0);(960.8471, 141.7001, 0.0);(1087.7401, 335.2016, 0.0);(1041.7225, 214.0615, 0.0);(1027.0822, 265.6555, 0.0);(899.9219, 346.7, 0.0);(951.1289, 149.3549, 0.0)
(1056.2256, 699.7515, 0.0)|(1010.4399, 718.9216, 0.0);(1071.3651, 696.0112, 0.0);(1101.9055, 774.4866, 0.0);(1233.1846, 565.4163, 0.0);(1047.5649, 712.4813, 0.0)
(1121.1583, 791.8781, 0.0)|(1111.2174, 798.7075, 0.0);(1155.9901, 839.5259, 0.0);(1139.5371, 794.8798, 0.0);(1101.9055, 774.4866, 0.0)
(1155.9901, 839.5259, 0.0)|(1224.4517, 936.2043, 0.0);(1146.1606, 846.4508, 0.0);(1121.1583, 791.8781, 0.0)
(1224.4517, 936.2043, 0.0)|(1155.9901, 839.5259, 0.0);(1253.5394, 986.1083, 0.0);(1212.8744, 941.938, 0.0)
(1253.5394, 986.1083, 0.0)|(1224.4517, 936.2043, 0.0);(1255.4764, 957.7415, 0.0);(1432.6497, 869.4331, 0.0)
(953.1549, 763.8929, 0.0)|(966.8694, 767.1012, 0.0);(854.5036, 821.8009, 0.0);(975.6581, 755.7373, 0.0);(959.0326, 746.843, 0.0);(883.725, 671.2664, 0.0)
(481.3718, 941.3345, 0.0)|(489.487, 927.1829, 0.0);(449.5789, 894.3214, 0.0);(468.403, 940.1115, 0.0)
(580.6465, 875.3891, 0.0)|(615.3949, 858.2516, 0.0);(489.487, 927.1829, 0.0);(550.4455, 833.0934, 0.0);(583.1289, 862.4764, 0.0)
(679.9435, 807.1888, 0.0)|(626.332, 832.7123, 0.0);(689.7285, 814.9396, 0.0);(689.8435, 795.9095, 0.0)
(758.3069, 587.3999, 0.0)|(810.7996, 562.6951, 0.0);(830.4196, 686.3229, 0.0);(719.9406, 533.5037, 0.0);(733.6663, 598.4222, 0.0);(628.3469, 677.9529, 0.0);(811.0408, 539.1578, 0.0)
(1438.7305, -268.9528, 0.0)|(1210.6703, -421.5651, 0.0);(1455.7401, -203.4287, 0.0)
(1455.7401, -203.4287, 0.0)|(1438.7305, -268.9528, 0.0)
(1347.5376, -343.2742, 0.0)|(1210.6703, -421.5651, 0.0);(1365.9165, -346.9188, 0.0)
(1097.7032, -394.473, 0.0)|(969.0068, -479.0838, 0.0);(1125.9784, -362.6008, 0.0);(1060.5226, -450.3086, 0.0)
(-14.2449, 220.2976, 0.0)|(3.3881, 218.5507, 0.0);(-6.0963, 204.3208, 0.0);(-33.4475, 223.3469, 0.0);(-47.9635, 171.6049, 0.0);(34.687, 277.6522, 0.0);(-23.54, 237.9262, 0.0)
(-67.4445, 257.1271, 0.0)|(-67.4778, 269.5783, 0.0);(-106.9239, 278.7738, 0.0);(-37.0041, 242.8019, 0.0)
(-106.9239, 278.7738, 0.0)|(-67.4445, 257.1271, 0.0);(-282.5137, 413.5468, 0.0);(-124.8074, 285.8253, 0.0);(-33.4475, 223.3469, 0.0);(-142.279, 228.0399, 0.0)
(-318.3808, 426.5858, 0.0)|(-282.5137, 413.5468, 0.0);(-356.6636, 463.4797, 0.0);(-326.5406, 411.9268, 0.0)
(-395.2525, 467.2199, 0.0)|(-356.6636, 463.4797, 0.0);(-476.5621, 356.9676, 0.0);(-393.5716, 491.6465, 0.0);(-326.5406, 411.9268, 0.0);(-346.7395, 541.7863, 0.0);(-411.533, 478.9488, 0.0)
(-401.5254, 56.6554, 0.0)|(-380.1409, 97.0098, 0.0);(-414.572, 55.7184, 0.0);(-428.0584, 16.6822, 0.0)
(-380.1409, 97.0098, 0.0)|(-401.5254, 56.6554, 0.0);(-355.1497, 144.1617, 0.0);(-397.5735, 106.4592, 0.0)
(-355.1497, 144.1617, 0.0)|(-380.1409, 97.0098, 0.0);(-344.7079, 172.6213, 0.0);(-371.9589, 152.9441, 0.0)
(359.822, -1194.2897, 0.0)|(354.7458, -1176.9895, 0.0)
(363.5067, -1056.6331, 0.0)|(369.0393, -1037.3237, 0.0);(364.2108, -1078.8164, 0.0)
(356.4991, -974.092, 0.0)|(364.3666, -1008.5424, 0.0);(333.8512, -916.8304, 0.0)
(278.3139, -860.4102, 0.0)|(290.0247, -864.126, 0.0);(287.2974, -876.3693, 0.0);(194.6239, -785.8469, 0.0)
(822.2209, -753.1425, 0.0)|(852.767, -780.1064, 0.0);(803.1853, -747.9022, 0.0)
(852.767, -780.1064, 0.0)|(822.2209, -753.1425, 0.0);(836.0524, -807.8167, 0.0);(872.1978, -780.9481, 0.0)
(836.0524, -807.8167, 0.0)|(846.7001, -819.3295, 0.0);(852.767, -780.1064, 0.0);(812.9146, -827.6187, 0.0)
(980.1499, -1072.0836, 0.0)|(875.799, -1011.9327, 0.0)
(700.1702, -879.1323, 0.0)|(875.799, -1011.9327, 0.0);(699.0682, -867.0479, 0.0);(686.4445, -880.8791, 0.0);(732.798, -886.8816, 0.0)
(-1081.4648, -597.9791, 0.0)|(-1066.4923, -588.4828, 0.0);(-1135.4659, -587.1489, 0.0)
(-1135.4659, -587.1489, 0.0)|(-1081.4648, -597.9791, 0.0);(-1151.3846, -591.2777, 0.0)
(-1151.3846, -591.2777, 0.0)|(-1319.733, -726.0991, 0.0);(-1135.4659, -587.1489, 0.0)
(-1343.4108, -761.1618, 0.0)|(-1406.4398, -864.8406, 0.0);(-1319.733, -726.0991, 0.0);(-1328.8279, -755.3974, 0.0)
(-1489.5787, -963.0796, 0.0)|(-1506.0819, -975.6958, 0.0);(-1406.4398, -864.8406, 0.0);(-1601.5829, -1156.0211, 0.0);(-1319.733, -726.0991, 0.0)
(-1506.0819, -975.6958, 0.0)|(-1489.5787, -963.0796, 0.0)
(-1022.0981, -880.4821, 0.0)|(-1037.0594, -870.6367, 0.0);(-977.6928, -822.0608, 0.0);(-1033.9333, -898.7463, 0.0)
(-1037.0594, -870.6367, 0.0)|(-1022.0981, -880.4821, 0.0);(-967.4291, -765.8464, 0.0);(-1046.8445, -877.5602, 0.0)
(-1096.6599, -842.3074, 0.0)|(-1074.0844, -851.4382, 0.0);(-1115.2391, -845.3881, 0.0)
(-1127.4064, -834.6693, 0.0)|(-1145.1619, -841.6404, 0.0);(-1115.2391, -845.3881, 0.0);(-1162.4497, -834.3676, 0.0)
(-1162.4497, -834.3676, 0.0)|(-1127.4064, -834.6693, 0.0);(-1184.0569, -828.2856, 0.0);(-1145.1619, -841.6404, 0.0);(-1195.7343, -848.0876, 0.0);(-1170.6206, -822.5372, 0.0)
(194.6239, -785.8469, 0.0)|(278.3139, -860.4102, 0.0);(152.4115, -752.3008, 0.0)
