(-0.060183,-0.234353,0.115927);(-0.047483,-0.225197,0.118941);(-0.068939,-0.267867,0.065829)
(0.019056,-0.249243,0.090766);(-0.068939,-0.267867,0.065829);(-0.047483,-0.225197,0.118941)
(-0.060183,-0.234353,0.115927);(-0.068939,-0.267867,0.065829);(-0.057142,-0.299853,0.036789)
(-0.010759,-0.275398,0.087200);(-0.060183,-0.234353,0.115927);(-0.057142,-0.299853,0.036789)
(-0.027435,-0.168080,0.168083);(-0.047483,-0.225197,0.118941);(-0.060183,-0.234353,0.115927)
(-0.023965,-0.190290,0.166086);(-0.060183,-0.234353,0.115927);(-0.010759,-0.275398,0.087200)
(-0.023965,-0.190290,0.166086);(-0.027435,-0.168080,0.168083);(-0.060183,-0.234353,0.115927)
(-0.010759,-0.275398,0.087200);(0.042602,-0.186234,0.171765);(-0.023965,-0.190290,0.166086)
(0.029626,-0.131238,0.204928);(0.023725,-0.102906,0.208298);(-0.023965,-0.190290,0.166086)
(0.042602,-0.186234,0.171765);(0.029626,-0.131238,0.204928);(-0.023965,-0.190290,0.166086)
(-0.023965,-0.190290,0.166086);(0.023725,-0.102906,0.208298);(-0.027435,-0.168080,0.168083)
(-0.027435,-0.168080,0.168083);(0.023725,-0.102906,0.208298);(0.022487,-0.097241,0.199902)
(0.022487,-0.097241,0.199902);(0.023725,-0.102906,0.208298);(0.029692,-0.109069,0.208061)
(0.029626,-0.131238,0.204928);(0.029692,-0.109069,0.208061);(0.023725,-0.102906,0.208298)
(0.081118,-0.168119,0.156543);(0.022487,-0.097241,0.199902);(0.029692,-0.109069,0.208061)
(0.029692,-0.109069,0.208061);(0.029626,-0.131238,0.204928);(0.081118,-0.168119,0.156543)
(0.081118,-0.168119,0.156543);(0.029626,-0.131238,0.204928);(0.042602,-0.186234,0.171765)
(0.097957,-0.202518,0.120606);(0.069840,-0.161593,0.158934);(0.081118,-0.168119,0.156543)
(0.081118,-0.168119,0.156543);(0.042602,-0.186234,0.171765);(0.097957,-0.202518,0.120606)
(0.069840,-0.161593,0.158934);(0.022487,-0.097241,0.199902);(0.081118,-0.168119,0.156543)
(0.026095,-0.150068,0.179526);(0.022487,-0.097241,0.199902);(0.069840,-0.161593,0.158934)
(0.025724,-0.200221,0.143219);(0.069840,-0.161593,0.158934);(0.097957,-0.202518,0.120606)
(0.025724,-0.200221,0.143219);(0.026095,-0.150068,0.179526);(0.069840,-0.161593,0.158934)
(-0.027435,-0.168080,0.168083);(0.025724,-0.200221,0.143219);(-0.047483,-0.225197,0.118941)
(0.019056,-0.249243,0.090766);(-0.047483,-0.225197,0.118941);(0.025724,-0.200221,0.143219)
(0.019056,-0.249243,0.090766);(0.025724,-0.200221,0.143219);(0.097957,-0.202518,0.120606)
(-0.027435,-0.168080,0.168083);(0.026095,-0.150068,0.179526);(0.025724,-0.200221,0.143219)
(0.022487,-0.097241,0.199902);(0.026095,-0.150068,0.179526);(-0.027435,-0.168080,0.168083)
(0.093350,-0.257321,0.047845);(0.097957,-0.202518,0.120606);(0.097118,-0.250583,0.073649)
(0.054333,-0.243286,0.114775);(0.097118,-0.250583,0.073649);(0.097957,-0.202518,0.120606)
(0.097957,-0.202518,0.120606);(0.042602,-0.186234,0.171765);(0.054333,-0.243286,0.114775)
(0.093350,-0.257321,0.047845);(0.019056,-0.249243,0.090766);(0.097957,-0.202518,0.120606)
(0.054333,-0.243286,0.114775);(0.067234,-0.289620,0.040904);(0.097118,-0.250583,0.073649)
(0.054333,-0.243286,0.114775);(0.042602,-0.186234,0.171765);(-0.010759,-0.275398,0.087200)
(0.075257,0.224995,0.116869);(0.063015,0.215033,0.119907);(0.082096,0.259240,0.066363)
(-0.005367,0.235313,0.091503);(0.082096,0.259240,0.066363);(0.063015,0.215033,0.119907)
(0.075257,0.224995,0.116869);(0.082096,0.259240,0.066363);(0.068339,0.290735,0.037088)
(0.023099,0.263392,0.087908);(0.075257,0.224995,0.116869);(0.068339,0.290735,0.037088)
(0.046203,0.156369,0.169449);(0.063015,0.215033,0.119907);(0.075257,0.224995,0.116869)
(0.041402,0.178517,0.167435);(0.075257,0.224995,0.116869);(0.023099,0.263392,0.087908)
(0.041402,0.178517,0.167435);(0.046203,0.156369,0.169449);(0.075257,0.224995,0.116869)
(0.023099,0.263392,0.087908);(-0.025352,0.170515,0.173160);(0.041402,0.178517,0.167435)
(-0.009054,0.115930,0.206593);(-0.001447,0.087764,0.209991);(0.041402,0.178517,0.167435)
(-0.025352,0.170515,0.173160);(-0.009054,0.115930,0.206593);(0.041402,0.178517,0.167435)
(0.041402,0.178517,0.167435);(-0.001447,0.087764,0.209991);(0.046203,0.156369,0.169449)
(0.046203,0.156369,0.169449);(-0.001447,0.087764,0.209991);(0.000133,0.082136,0.201526)
(0.000133,0.082136,0.201526);(-0.001447,0.087764,0.209991);(-0.007815,0.093615,0.209752)
(-0.009054,0.115930,0.206593);(-0.007815,0.093615,0.209752);(-0.001447,0.087764,0.209991)
(-0.063048,0.150015,0.157815);(0.000133,0.082136,0.201526);(-0.007815,0.093615,0.209752)
(-0.007815,0.093615,0.209752);(-0.009054,0.115930,0.206593);(-0.063048,0.150015,0.157815)
