(-0.060963,0.018741,0.000000);(-0.099283,0.048749,0.000000);(-0.100000,-0.019000,0.000000)
(0.099300,-0.046991,0.000000);(0.100000,-0.341000,0.000000);(0.189000,-0.341000,0.000000)
(0.189000,-0.341000,0.000000);(0.187670,-0.036561,0.000000);(0.099300,-0.046991,0.000000)
(0.187670,-0.036561,0.000000);(0.181080,0.003502,0.000000);(0.095792,-0.024506,0.000000)
(0.181080,0.003502,0.000000);(0.163916,0.046503,0.000000);(0.086425,0.000878,0.000000)
(0.095792,-0.024506,0.000000);(0.181080,0.003502,0.000000);(0.086425,0.000878,0.000000)
(0.163916,0.046503,0.000000);(0.138690,0.079201,0.000000);(0.086425,0.000878,0.000000)
(0.138690,0.079201,0.000000);(0.106519,0.101801,0.000000);(0.072318,0.021125,0.000000)
(0.138690,0.079201,0.000000);(0.072318,0.021125,0.000000);(0.086425,0.000878,0.000000)
(0.106519,0.101801,0.000000);(0.068431,0.114410,0.000000);(0.053893,0.035729,0.000000)
(0.068431,0.114410,0.000000);(0.028821,0.117043,0.000000);(0.031513,0.044206,0.000000)
(0.028821,0.117043,0.000000);(-0.013253,0.109483,0.000000);(0.012000,0.046000,0.000000)
(-0.013253,0.109483,0.000000);(-0.059481,0.086163,0.000000);(-0.010320,0.043963,0.000000)
(-0.013253,0.109483,0.000000);(-0.010320,0.043963,0.000000);(0.012000,0.046000,0.000000)
(-0.059481,0.086163,0.000000);(-0.099283,0.048749,0.000000);(-0.035270,0.035524,0.000000)
(-0.010320,0.043963,0.000000);(-0.059481,0.086163,0.000000);(-0.035270,0.035524,0.000000)
(0.028821,0.117043,0.000000);(0.012000,0.046000,0.000000);(0.031513,0.044206,0.000000)
(0.095792,-0.024506,0.000000);(0.099300,-0.046991,0.000000);(0.187670,-0.036561,0.000000)
(0.053893,0.035729,0.000000);(0.072318,0.021125,0.000000);(0.106519,0.101801,0.000000)
(0.031513,0.044206,0.000000);(0.053893,0.035729,0.000000);(0.068431,0.114410,0.000000)
(-0.099283,0.048749,0.000000);(-0.100000,0.341000,0.000000);(-0.189000,0.341000,0.000000)
(-0.099283,0.048749,0.000000);(-0.189000,0.341000,0.000000);(-0.100000,-0.019000,0.000000)
(-0.189000,0.341000,0.000000);(-0.189000,-0.341000,0.000000);(-0.100000,-0.019000,0.000000)
(-0.189000,-0.341000,0.000000);(-0.100000,-0.341000,0.000000);(-0.100000,-0.019000,0.000000)
(-0.035270,0.035524,0.000000);(-0.099283,0.048749,0.000000);(-0.060963,0.018741,0.000000)
