(0.208001,1.556723,0.924425);(0.292854,1.619402,0.863202);(0.029810,1.652730,0.841357)
(-0.316647,1.628354,0.872713);(-0.184129,1.529864,0.940598);(-0.302283,1.618387,0.855244)
(0.479731,1.645021,0.935947);(0.373519,1.639766,0.890836);(0.292854,1.619402,0.863202)
(0.306690,0.565113,1.004655);(0.243593,0.640186,1.040219);(0.129733,0.514229,1.027650)
(-0.407894,0.834328,-0.871737);(-0.418119,0.989919,-0.909672);(-0.284889,0.899137,-0.994409)
(-0.406911,1.693713,0.794503);(-0.437684,1.793976,0.599871);(-0.447667,1.711969,0.800733)
(-0.281870,-0.304457,0.240478);(-0.306207,-0.134739,0.155561);(-0.268303,-0.233282,0.191497)
(0.282582,-0.327389,0.250316);(0.261826,-0.237860,0.194404);(0.305610,-0.135156,0.159590)
(-0.342853,-0.153654,0.253275);(-0.306207,-0.134739,0.155561);(-0.281870,-0.304457,0.240478)
(0.279022,-0.298351,0.344527);(0.341141,-0.160287,0.254866);(0.326609,-0.150481,0.274331)
(-0.268303,-0.233282,0.191497);(-0.254784,-0.314822,0.239083);(-0.281870,-0.304457,0.240478)
(0.341141,-0.160287,0.254866);(0.279022,-0.298351,0.344527);(0.299406,-0.319085,0.333160)
(0.261826,-0.237860,0.194404);(0.282582,-0.327389,0.250316);(0.256512,-0.305610,0.234144)
(-0.254784,-0.314822,0.239083);(-0.290863,-0.389637,0.255558);(-0.281870,-0.304457,0.240478)
(-0.254784,-0.314822,0.239083);(-0.291679,-0.415695,0.230870);(-0.290863,-0.389637,0.255558)
(0.315748,-0.498661,0.268036);(0.296623,-0.434932,0.236845);(0.256512,-0.305610,0.234144)
(-0.691234,0.354081,0.591582);(-0.677797,0.261442,0.545458);(-0.622991,0.256856,0.619921)
(0.280182,-0.312083,0.388866);(0.242455,-0.254856,0.498008);(0.231480,-0.392497,0.468326)
(-0.234492,-0.260301,0.508506);(-0.252975,-0.184411,0.434075);(-0.271716,-0.218419,0.436960)
(-0.316023,-0.617053,0.306341);(-0.312719,-0.573430,0.298675);(-0.328954,-0.534230,0.239737)
(0.290987,-0.442190,0.339018);(0.276598,-0.445304,0.359459);(0.287971,-0.527625,0.369330)
(-0.328954,-0.534230,0.239737);(-0.312719,-0.573430,0.298675);(-0.314488,-0.507757,0.235770)
(0.315748,-0.498661,0.268036);(0.306801,-0.600004,0.312764);(0.308182,-0.532310,0.266295)
(0.282582,-0.327389,0.250316);(0.315748,-0.498661,0.268036);(0.256512,-0.305610,0.234144)
(0.318514,0.310923,0.840900);(0.332728,0.394748,0.915794);(0.259449,0.275740,0.879442)
(-0.291679,-0.415695,0.230870);(-0.314488,-0.507757,0.235770);(-0.290863,-0.389637,0.255558)
(0.330820,-0.538137,0.239507);(0.296623,-0.434932,0.236845);(0.308182,-0.532310,0.266295)
(-0.305746,-0.293435,0.322645);(-0.281870,-0.304457,0.240478);(-0.290863,-0.389637,0.255558)
(-0.447855,0.820130,-0.420220);(-0.527923,0.947893,-0.499686);(-0.459648,0.697035,-0.478833)
(0.279567,-0.769132,0.258812);(0.271575,-0.650283,0.337713);(0.195067,-0.747110,0.336422)
(0.314167,0.739695,-0.962562);(0.415123,0.815306,-0.860564);(0.425255,0.699779,-0.833346)
(0.374886,-0.343980,-0.011616);(0.401234,-0.329685,-0.059820);(0.370192,-0.180232,0.037186)
(0.147498,0.884872,-1.064336);(0.222691,0.688246,-1.031765);(0.139151,0.734454,-1.068656)
(-0.382495,-1.110232,-0.599740);(-0.311635,-1.141719,-0.596735);(-0.321468,-1.322300,-0.625123)
(0.084826,-1.742738,-0.503963);(0.170925,-1.659448,-0.553541);(0.212665,-1.691348,-0.473483)
(0.212665,-1.691348,-0.473483);(0.097064,-1.774406,-0.412134);(0.084826,-1.742738,-0.503963)
(-0.927055,1.310799,0.244321);(-0.856606,1.242698,0.159357);(-0.896047,1.180548,0.286653)
(0.285737,-0.152604,0.378898);(0.242455,-0.254856,0.498008);(0.280182,-0.312083,0.388866)
(-0.081572,-1.773048,-0.419491);(0.097064,-1.774406,-0.412134);(-0.001795,-1.775471,-0.341837)
(-0.081572,-1.773048,-0.419491);(-0.018687,-1.767633,-0.456623);(0.097064,-1.774406,-0.412134)
(-0.072411,-1.678171,-0.633815);(-0.069444,-1.643774,-0.544020);(-0.125117,-1.634819,-0.561751)
(-0.316023,-0.617053,0.306341);(-0.277997,-0.640287,0.335792);(-0.312719,-0.573430,0.298675)
(0.442313,-0.286220,-0.362457);(0.430672,-0.206999,-0.428679);(0.441900,-0.252847,-0.323910)
(0.252088,-0.539462,0.389677);(0.176555,-0.620381,0.415725);(0.254511,-0.524740,0.371603)
(0.287971,-0.527625,0.369330);(0.315748,-0.498661,0.268036);(0.290987,-0.442190,0.339018)
(0.252088,-0.539462,0.389677);(0.247754,-0.366993,0.439210);(0.193674,-0.498976,0.453551)
(0.247754,-0.366993,0.439210);(0.154949,-0.491777,0.444037);(0.193674,-0.498976,0.453551)
(0.254511,-0.524740,0.371603);(0.276598,-0.445304,0.359459);(0.252088,-0.539462,0.389677)
