(0.995185,0.098017,0.013456);(1.000000,0.000000,0.034000);(1.000000,0.000000,0.000000)
(1.000000,0.000000,0.034000);(0.995185,-0.098017,0.013456);(1.000000,0.000000,0.000000)
(0.881921,0.471397,0.013456);(0.923880,0.382683,0.034000);(0.923880,0.382683,0.000000)
(0.923880,0.382683,0.034000);(0.956940,0.290285,0.013456);(0.923880,0.382683,0.000000)
(0.634393,0.773010,0.013456);(0.707107,0.707107,0.034000);(0.707107,0.707107,0.000000)
(0.707107,0.707107,0.034000);(0.773010,0.634393,0.013456);(0.707107,0.707107,0.000000)
(0.290285,0.956940,0.013456);(0.382683,0.923880,0.034000);(0.382683,0.923880,0.000000)
(0.382683,0.923880,0.034000);(0.471397,0.881921,0.013456);(0.382683,0.923880,0.000000)
(-0.098017,0.995185,0.013456);(-0.000000,1.000000,0.034000);(-0.000000,1.000000,0.000000)
(-0.000000,1.000000,0.034000);(0.098017,0.995185,0.013456);(-0.000000,1.000000,0.000000)
(-0.471397,0.881921,0.013456);(-0.382683,0.923880,0.034000);(-0.382683,0.923880,0.000000)
(-0.382683,0.923880,0.034000);(-0.290285,0.956940,0.013456);(-0.382683,0.923880,0.000000)
(-0.773010,0.634393,0.013456);(-0.707107,0.707107,0.034000);(-0.707107,0.707107,0.000000)
(-0.707107,0.707107,0.034000);(-0.634393,0.773010,0.013456);(-0.707107,0.707107,0.000000)
(-0.956940,0.290285,0.013456);(-0.923880,0.382683,0.034000);(-0.923880,0.382683,0.000000)
(-0.923880,0.382683,0.034000);(-0.881921,0.471397,0.013456);(-0.923880,0.382683,0.000000)
(-0.995185,-0.098017,0.013456);(-1.000000,-0.000000,0.034000);(-1.000000,-0.000000,0.000000)
(-1.000000,-0.000000,0.034000);(-0.995185,0.098017,0.013456);(-1.000000,-0.000000,0.000000)
(-0.881921,-0.471397,0.013456);(-0.923880,-0.382683,0.034000);(-0.923880,-0.382683,0.000000)
(-0.923880,-0.382683,0.034000);(-0.956940,-0.290285,0.013456);(-0.923880,-0.382683,0.000000)
(-0.634393,-0.773010,0.013456);(-0.707107,-0.707107,0.034000);(-0.707107,-0.707107,0.000000)
(-0.707107,-0.707107,0.034000);(-0.773011,-0.634393,0.013456);(-0.707107,-0.707107,0.000000)
(-0.290285,-0.956940,0.013456);(-0.382684,-0.923880,0.034000);(-0.382684,-0.923880,0.000000)
(-0.382684,-0.923880,0.034000);(-0.471397,-0.881921,0.013456);(-0.382684,-0.923880,0.000000)
(0.098017,-0.995185,0.013456);(0.000000,-1.000000,0.034000);(0.000000,-1.000000,0.000000)
(0.000000,-1.000000,0.034000);(-0.098017,-0.995185,0.013456);(0.000000,-1.000000,0.000000)
