(0.382683,0.382683,-0.400000);(0.000000,0.541196,-0.400000);(0.382683,0.923880,0.000000)
(0.382683,0.382683,-0.400000);(0.382683,0.923880,0.000000);(0.923880,0.382683,0.000000)
(0.923880,0.382683,0.000000);(0.382683,0.923880,0.000000);(0.612293,0.612293,0.175000)
(0.382683,0.923880,0.000000);(0.229610,0.554328,0.350000);(0.612293,0.612293,0.175000)
(0.612293,0.612293,0.175000);(0.229610,0.554328,0.350000);(0.554328,0.229610,0.350000)
(0.541196,0.000000,-0.400000);(0.382683,0.382683,-0.400000);(0.923880,0.382683,0.000000)
(0.541196,0.000000,-0.400000);(0.923880,0.382683,0.000000);(0.923880,-0.382683,0.000000)
(0.923880,-0.382683,0.000000);(0.923880,0.382683,0.000000);(0.865914,0.000000,0.175000)
(0.923880,0.382683,0.000000);(0.554328,0.229610,0.350000);(0.865914,0.000000,0.175000)
(0.865914,0.000000,0.175000);(0.554328,0.229610,0.350000);(0.554328,-0.229610,0.350000)
(0.382683,-0.382683,-0.400000);(0.541196,0.000000,-0.400000);(0.923880,-0.382683,0.000000)
(0.382683,-0.382683,-0.400000);(0.923880,-0.382683,0.000000);(0.382683,-0.923880,0.000000)
(0.382683,-0.923880,0.000000);(0.923880,-0.382683,0.000000);(0.612293,-0.612293,0.175000)
(0.923880,-0.382683,0.000000);(0.554328,-0.229610,0.350000);(0.612293,-0.612293,0.175000)
(0.612293,-0.612293,0.175000);(0.554328,-0.229610,0.350000);(0.229610,-0.554328,0.350000)
(0.000000,-0.541196,-0.400000);(0.382683,-0.382683,-0.400000);(0.382683,-0.923880,0.000000)
(0.000000,-0.541196,-0.400000);(0.382683,-0.923880,0.000000);(-0.382683,-0.923880,0.000000)
(-0.382683,-0.923880,0.000000);(0.382683,-0.923880,0.000000);(0.000000,-0.865914,0.175000)
(0.382683,-0.923880,0.000000);(0.229610,-0.554328,0.350000);(0.000000,-0.865914,0.175000)
(0.000000,-0.865914,0.175000);(0.229610,-0.554328,0.350000);(-0.229610,-0.554328,0.350000)
(-0.382683,-0.382683,-0.400000);(0.000000,-0.541196,-0.400000);(-0.382683,-0.923880,0.000000)
(-0.382683,-0.382683,-0.400000);(-0.382683,-0.923880,0.000000);(-0.923880,-0.382683,0.000000)
(-0.923880,-0.382683,0.000000);(-0.382683,-0.923880,0.000000);(-0.612293,-0.612293,0.175000)
(-0.382683,-0.923880,0.000000);(-0.229610,-0.554328,0.350000);(-0.612293,-0.612293,0.175000)
(-0.612293,-0.612293,0.175000);(-0.229610,-0.554328,0.350000);(-0.554328,-0.229610,0.350000)
(-0.541196,-0.000000,-0.400000);(-0.382683,-0.382683,-0.400000);(-0.923880,-0.382683,0.000000)
(-0.541196,-0.000000,-0.400000);(-0.923880,-0.382683,0.000000);(-0.923880,0.382683,0.000000)
(-0.923880,0.382683,0.000000);(-0.923880,-0.382683,0.000000);(-0.865914,-0.000000,0.175000)
(-0.923880,-0.382683,0.000000);(-0.554328,-0.229610,0.350000);(-0.865914,-0.000000,0.175000)
(-0.865914,-0.000000,0.175000);(-0.554328,-0.229610,0.350000);(-0.554328,0.229610,0.350000)
(-0.382683,0.382683,-0.400000);(-0.541196,-0.000000,-0.400000);(-0.923880,0.382683,0.000000)
(-0.382683,0.382683,-0.400000);(-0.923880,0.382683,0.000000);(-0.382683,0.923880,0.000000)
(-0.382683,0.923880,0.000000);(-0.923880,0.382683,0.000000);(-0.612293,0.612293,0.175000)
(-0.923880,0.382683,0.000000);(-0.554328,0.229610,0.350000);(-0.612293,0.612293,0.175000)
(-0.612293,0.612293,0.175000);(-0.554328,0.229610,0.350000);(-0.229610,0.554328,0.350000)
(0.000000,0.541196,-0.400000);(-0.382683,0.382683,-0.400000);(-0.382683,0.923880,0.000000)
(0.000000,0.541196,-0.400000);(-0.382683,0.923880,0.000000);(0.382683,0.923880,0.000000)
(0.382683,0.923880,0.000000);(-0.382683,0.923880,0.000000);(0.000000,0.865914,0.175000)
(-0.382683,0.923880,0.000000);(-0.229610,0.554328,0.350000);(0.000000,0.865914,0.175000)
(0.000000,0.865914,0.175000);(-0.229610,0.554328,0.350000);(0.229610,0.554328,0.350000)
(0.000000,0.000000,0.350000);(0.229610,0.554328,0.350000);(-0.229610,0.554328,0.350000)
(0.229610,0.554328,0.350000);(0.000000,0.000000,0.350000);(0.554328,0.229610,0.350000)
(0.554328,0.229610,0.350000);(0.000000,0.000000,0.350000);(0.554328,-0.229610,0.350000)
(0.554328,-0.229610,0.350000);(0.000000,0.000000,0.350000);(0.229610,-0.554328,0.350000)
(0.229610,-0.554328,0.350000);(0.000000,0.000000,0.350000);(-0.229610,-0.554328,0.350000)
(-0.229610,-0.554328,0.350000);(0.000000,0.000000,0.350000);(-0.554328,-0.229610,0.350000)
(-0.554328,-0.229610,0.350000);(0.000000,0.000000,0.350000);(-0.554328,0.229610,0.350000)
(-0.554328,0.229610,0.350000);(0.000000,0.000000,0.350000);(-0.229610,0.554328,0.350000)
(0.382683,0.382683,-0.400000);(0.000000,0.000000,-0.800000);(0.000000,0.541196,-0.400000)
(0.382683,0.923880,0.000000);(0.000000,0.865914,0.175000);(0.229610,0.554328,0.350000)
(0.541196,0.000000,-0.400000);(0.000000,0.000000,-0.800000);(0.382683,0.382683,-0.400000)
(0.923880,0.382683,0.000000);(0.612293,0.612293,0.175000);(0.554328,0.229610,0.350000)
(0.382683,-0.382683,-0.400000);(0.000000,0.000000,-0.800000);(0.541196,0.000000,-0.400000)
(0.923880,-0.382683,0.000000);(0.865914,0.000000,0.175000);(0.554328,-0.229610,0.350000)
(0.000000,-0.541196,-0.400000);(0.000000,0.000000,-0.800000);(0.382683,-0.382683,-0.400000)
(0.382683,-0.923880,0.000000);(0.612293,-0.612293,0.175000);(0.229610,-0.554328,0.350000)
(-0.382683,-0.382683,-0.400000);(0.000000,0.000000,-0.800000);(0.000000,-0.541196,-0.400000)
(-0.382683,-0.923880,0.000000);(0.000000,-0.865914,0.175000);(-0.229610,-0.554328,0.350000)
(-0.541196,-0.000000,-0.400000);(0.000000,0.000000,-0.800000);(-0.382683,-0.382683,-0.400000)
(-0.923880,-0.382683,0.000000);(-0.612293,-0.612293,0.175000);(-0.554328,-0.229610,0.350000)
(-0.382683,0.382683,-0.400000);(0.000000,0.000000,-0.800000);(-0.541196,-0.000000,-0.400000)
(-0.923880,0.382683,0.000000);(-0.865914,-0.000000,0.175000);(-0.554328,0.229610,0.350000)
(0.000000,0.541196,-0.400000);(0.000000,0.000000,-0.800000);(-0.382683,0.382683,-0.400000)
(-0.382683,0.923880,0.000000);(-0.612293,0.612293,0.175000);(-0.229610,0.554328,0.350000)
