(-1.000000,-1.000000,-0.925926);(-1.000000,-0.925926,-0.925926);(-1.000000,-0.925926,-1.000000);(-1.000000,-1.000000,-1.000000)
(-0.925926,-1.000000,-1.000000);(-0.925926,-1.000000,-0.925926);(-1.000000,-1.000000,-0.925926);(-1.000000,-1.000000,-1.000000)
(-1.000000,-0.925926,-1.000000);(-0.925926,-0.925926,-1.000000);(-0.925926,-1.000000,-1.000000);(-1.000000,-1.000000,-1.000000)
(-1.000000,-1.000000,-0.851852);(-1.000000,-0.925926,-0.851852);(-1.000000,-0.925926,-0.925926);(-1.000000,-1.000000,-0.925926)
(-0.925926,-0.925926,-0.925926);(-0.925926,-0.925926,-0.851852);(-0.925926,-1.000000,-0.851852);(-0.925926,-1.000000,-0.925926)
(-0.925926,-1.000000,-0.925926);(-0.925926,-1.000000,-0.851852);(-1.000000,-1.000000,-0.851852);(-1.000000,-1.000000,-0.925926)
(-1.000000,-0.925926,-0.851852);(-0.925926,-0.925926,-0.851852);(-0.925926,-0.925926,-0.925926);(-1.000000,-0.925926,-0.925926)
(-1.000000,-1.000000,-0.777778);(-1.000000,-0.925926,-0.777778);(-1.000000,-0.925926,-0.851852);(-1.000000,-1.000000,-0.851852)
(-0.925926,-1.000000,-0.851852);(-0.925926,-1.000000,-0.777778);(-1.000000,-1.000000,-0.777778);(-1.000000,-1.000000,-0.851852)
(-1.000000,-0.925926,-0.925926);(-1.000000,-0.851852,-0.925926);(-1.000000,-0.851852,-1.000000);(-1.000000,-0.925926,-1.000000)
(-0.925926,-0.851852,-1.000000);(-0.925926,-0.851852,-0.925926);(-0.925926,-0.925926,-0.925926);(-0.925926,-0.925926,-1.000000)
(-1.000000,-0.851852,-1.000000);(-0.925926,-0.851852,-1.000000);(-0.925926,-0.925926,-1.000000);(-1.000000,-0.925926,-1.000000)
(-0.925926,-0.925926,-0.925926);(-0.925926,-0.851852,-0.925926);(-1.000000,-0.851852,-0.925926);(-1.000000,-0.925926,-0.925926)
(-1.000000,-0.925926,-0.777778);(-1.000000,-0.851852,-0.777778);(-1.000000,-0.851852,-0.851852);(-1.000000,-0.925926,-0.851852)
(-0.925926,-0.851852,-0.851852);(-0.925926,-0.851852,-0.777778);(-0.925926,-0.925926,-0.777778);(-0.925926,-0.925926,-0.851852)
(-1.000000,-0.851852,-0.851852);(-0.925926,-0.851852,-0.851852);(-0.925926,-0.925926,-0.851852);(-1.000000,-0.925926,-0.851852)
(-1.000000,-0.851852,-0.925926);(-1.000000,-0.777778,-0.925926);(-1.000000,-0.777778,-1.000000);(-1.000000,-0.851852,-1.000000)
(-1.000000,-0.777778,-1.000000);(-0.925926,-0.777778,-1.000000);(-0.925926,-0.851852,-1.000000);(-1.000000,-0.851852,-1.000000)
(-1.000000,-0.851852,-0.851852);(-1.000000,-0.777778,-0.851852);(-1.000000,-0.777778,-0.925926);(-1.000000,-0.851852,-0.925926)
(-0.925926,-0.777778,-0.925926);(-0.925926,-0.777778,-0.851852);(-0.925926,-0.851852,-0.851852);(-0.925926,-0.851852,-0.925926)
(-0.925926,-0.851852,-0.925926);(-0.925926,-0.851852,-0.851852);(-1.000000,-0.851852,-0.851852);(-1.000000,-0.851852,-0.925926)
(-1.000000,-0.851852,-0.777778);(-1.000000,-0.777778,-0.777778);(-1.000000,-0.777778,-0.851852);(-1.000000,-0.851852,-0.851852)
(-0.851852,-1.000000,-1.000000);(-0.851852,-1.000000,-0.925926);(-0.925926,-1.000000,-0.925926);(-0.925926,-1.000000,-1.000000)
(-0.925926,-0.925926,-0.925926);(-0.851852,-0.925926,-0.925926);(-0.851852,-0.925926,-1.000000);(-0.925926,-0.925926,-1.000000)
(-0.925926,-0.925926,-1.000000);(-0.851852,-0.925926,-1.000000);(-0.851852,-1.000000,-1.000000);(-0.925926,-1.000000,-1.000000)
(-0.851852,-1.000000,-0.925926);(-0.851852,-0.925926,-0.925926);(-0.925926,-0.925926,-0.925926);(-0.925926,-1.000000,-0.925926)
(-0.851852,-1.000000,-0.851852);(-0.851852,-1.000000,-0.777778);(-0.925926,-1.000000,-0.777778);(-0.925926,-1.000000,-0.851852)
(-0.925926,-0.925926,-0.777778);(-0.851852,-0.925926,-0.777778);(-0.851852,-0.925926,-0.851852);(-0.925926,-0.925926,-0.851852)
