(1.547284,2.427439,0.713224);(1.264091,2.497149,0.984619);(1.476929,2.281565,1.188707)
(1.942631,1.942631,-1.120049);(2.129702,1.719757,-1.142700);(2.041234,1.660340,-1.371240)
(1.344059,1.871131,-1.871132);(1.142700,2.129702,-1.719757);(1.371240,2.041234,-1.660340)
(1.120049,1.942631,1.942631);(0.685620,1.802515,2.251664);(1.142700,1.719757,2.129702)
(2.427439,-1.547284,0.713224);(2.129702,-1.719757,1.142700);(2.251664,-1.802515,0.685620)
(1.371240,2.041234,-1.660340);(1.188707,2.281565,-1.476929);(1.426449,2.175108,-1.426449)
(-0.672029,-2.041849,-2.041849);(-0.228540,-2.310080,-1.842449);(-0.685620,-2.251664,-1.802515)
(-1.802515,-0.685620,-2.251664);(-1.581249,-0.237741,-2.497001);(-1.547284,-0.713224,-2.427439)
(2.310080,-1.842449,0.228540);(2.089599,-2.089599,-0.224010);(2.310080,-1.842449,-0.228540)
(2.310080,1.842449,0.228540);(2.497001,1.581249,-0.237741);(2.310080,1.842449,-0.228540)
(1.842449,2.310080,0.228540);(2.041849,2.041849,0.672029);(2.089599,2.089599,0.224010)
(0.237741,1.581249,-2.497001);(0.685620,1.802515,-2.251664);(0.713224,1.547284,-2.427439)
(-2.251664,1.802515,-0.685620);(-1.942631,1.942631,-1.120049);(-2.129702,1.719757,-1.142700)
(-1.142700,-1.719757,-2.129702);(-0.713224,-1.547284,-2.427439);(-0.685620,-1.802515,-2.251664)
(-1.344059,1.871131,-1.871131);(-1.142700,2.129702,-1.719757);(-1.120049,1.942631,-1.942631)
(-1.371240,2.041234,-1.660340);(-1.188707,2.281565,-1.476929);(-1.142700,2.129702,-1.719757)
(-1.942631,-1.942631,-1.120049);(-2.129702,-1.719757,-1.142700);(-2.041234,-1.660340,-1.371240)
(1.594461,1.930503,-1.594461);(1.786811,1.786811,-1.559853);(1.715019,1.715019,-1.715019)
(1.660340,2.041234,-1.371240);(1.476929,2.281565,-1.188707);(1.719757,2.129702,-1.142700)
(2.427439,-1.547284,-0.713224);(2.129702,-1.719757,-1.142700);(2.281565,-1.476929,-1.188707)
