(-0.000000,1.150000,0.000000);(0.506380,1.391267,0.330556);(0.393323,1.080647,0.000000)
(0.490385,0.490385,2.276846);(0.490385,0.490385,3.440000);(0.490385,1.785000,3.440000)
(0.490385,0.490385,2.276846);(1.785000,0.490385,3.440000);(0.490385,0.490385,3.440000)
(-0.227575,-1.290645,0.660528);(0.227575,-1.290645,0.644972);(0.227575,-1.290645,0.679972)
(0.939184,1.119276,0.311111);(1.111828,0.932935,0.301389);(0.880951,0.739206,0.000000)
(-0.490385,0.490385,2.276846);(-0.490385,0.490385,3.440000);(-1.785000,0.490385,3.440000)
(-0.490385,0.490385,2.276846);(-0.490384,1.785000,3.440000);(-0.490385,0.490385,3.440000)
(-0.490385,-0.490385,2.276846);(-0.490385,-0.490385,3.440000);(-0.490385,-1.785000,3.440000)
(-0.490385,-0.490385,2.276846);(-1.785000,-0.490384,3.440000);(-0.490385,-0.490385,3.440000)
(-1.785000,0.490385,3.440000);(-0.490384,1.785000,3.440000);(-1.756618,2.093456,3.440000)
(0.964181,-1.149067,2.100000);(0.964181,-1.149067,1.869389);(1.149067,-0.964181,1.879111)
(0.490385,-0.490385,2.276846);(0.490385,-0.490385,3.440000);(1.785000,-0.490384,3.440000)
(0.490385,-0.490385,2.276846);(0.490385,-1.785000,3.440000);(0.490385,-0.490385,3.440000)
(0.474548,2.691295,3.440000);(0.000000,2.750000,3.422812);(0.000000,2.732812,3.440000)
(1.140718,-0.658594,2.117188);(1.297176,-0.228727,2.117188);(2.584155,-0.940555,2.117188)
(1.375000,2.381570,2.117188);(0.477532,2.708221,2.134375);(1.375000,2.381570,2.134375)
(0.842408,-1.003943,0.324139);(1.003943,-0.842408,0.333861);(1.003943,-0.842408,0.368861)
(0.444626,1.221600,2.100000);(0.225743,1.280250,2.100000);(0.450505,1.237751,2.117188)
(-1.149067,0.964181,1.704111);(-1.024099,0.859321,1.593861);(-1.266134,0.460835,1.613306)
(-1.409539,-0.513030,0.456944);(-1.149067,-0.964181,0.381889);(-1.149067,-0.964181,0.476389)
(1.198002,-0.691667,0.233333);(0.876691,-1.044799,0.213889);(0.739206,-0.880951,0.000000)
(-0.650000,1.125833,2.100000);(-0.450505,1.237751,2.117188);(-0.444626,1.221600,2.100000)
