(0.220010,-0.517094,0.431488);(0.000000,-0.580177,0.402933);(0.227720,-0.535213,0.402933)
(0.213013,-0.500648,0.441007);(0.000000,-0.560536,0.431488);(0.220010,-0.517094,0.431488)
(0.209573,-0.492564,0.431488);(0.000000,-0.542707,0.441007);(0.213013,-0.500648,0.441007)
(0.209573,-0.492564,0.431488);(0.000000,-0.541499,0.402933);(0.000000,-0.533944,0.431488)
(0.397980,-0.397980,0.431488);(0.227720,-0.535213,0.402933);(0.411926,-0.411926,0.402933)
(0.385322,-0.385322,0.441007);(0.220010,-0.517094,0.431488);(0.397980,-0.397980,0.431488)
(0.379100,-0.379100,0.431488);(0.213013,-0.500648,0.441007);(0.385322,-0.385322,0.441007)
(0.379100,-0.379100,0.431488);(0.212538,-0.499533,0.402933);(0.209573,-0.492564,0.431488)
(0.535213,-0.227720,0.402933);(0.397980,-0.397980,0.431488);(0.411926,-0.411926,0.402933)
(0.517094,-0.220010,0.431488);(0.385322,-0.385322,0.441007);(0.397980,-0.397980,0.431488)
(0.500648,-0.213013,0.441007);(0.379100,-0.379100,0.431488);(0.385322,-0.385322,0.441007)
(0.499533,-0.212538,0.402933);(0.379100,-0.379100,0.431488);(0.492564,-0.209573,0.431488)
(0.580177,0.000000,0.402933);(0.517094,-0.220010,0.431488);(0.535213,-0.227720,0.402933)
(0.560536,0.000000,0.431488);(0.500648,-0.213013,0.441007);(0.517094,-0.220010,0.431488)
(0.542707,0.000000,0.441007);(0.492564,-0.209573,0.431488);(0.500648,-0.213013,0.441007)
(0.541499,0.000000,0.402933);(0.492564,-0.209573,0.431488);(0.533944,0.000000,0.431488)
(-0.517094,-0.220010,0.431488);(-0.580177,0.000000,0.402933);(-0.535213,-0.227720,0.402933)
(-0.500648,-0.213013,0.441007);(-0.560536,0.000000,0.431488);(-0.517094,-0.220010,0.431488)
(-0.492564,-0.209573,0.431488);(-0.542707,0.000000,0.441007);(-0.500648,-0.213013,0.441007)
(-0.492564,-0.209573,0.431488);(-0.541499,0.000000,0.402933);(-0.533944,0.000000,0.431488)
(-0.397980,-0.397980,0.431488);(-0.535213,-0.227720,0.402933);(-0.411926,-0.411926,0.402933)
(-0.385322,-0.385322,0.441007);(-0.517094,-0.220010,0.431488);(-0.397980,-0.397980,0.431488)
(-0.379100,-0.379100,0.431488);(-0.500648,-0.213013,0.441007);(-0.385322,-0.385322,0.441007)
(-0.379100,-0.379100,0.431488);(-0.499533,-0.212538,0.402933);(-0.492564,-0.209573,0.431488)
(-0.227720,-0.535213,0.402933);(-0.397980,-0.397980,0.431488);(-0.411926,-0.411926,0.402933)
(-0.220010,-0.517094,0.431488);(-0.385322,-0.385322,0.441007);(-0.397980,-0.397980,0.431488)
(-0.213013,-0.500648,0.441007);(-0.379100,-0.379100,0.431488);(-0.385322,-0.385322,0.441007)
(-0.212538,-0.499533,0.402933);(-0.379100,-0.379100,0.431488);(-0.209573,-0.492564,0.431488)
(0.000000,-0.580177,0.402933);(-0.220010,-0.517094,0.431488);(-0.227720,-0.535213,0.402933)
(0.000000,-0.560536,0.431488);(-0.213013,-0.500648,0.441007);(-0.220010,-0.517094,0.431488)
(0.000000,-0.542707,0.441007);(-0.209573,-0.492564,0.431488);(-0.213013,-0.500648,0.441007)
(0.000000,-0.541499,0.402933);(-0.209573,-0.492564,0.431488);(0.000000,-0.533944,0.431488)
(-0.220010,0.517094,0.431488);(0.000000,0.580177,0.402933);(-0.227720,0.535213,0.402933)
(-0.213013,0.500648,0.441007);(0.000000,0.560536,0.431488);(-0.220010,0.517094,0.431488)
(-0.209573,0.492564,0.431488);(0.000000,0.542707,0.441007);(-0.213013,0.500648,0.441007)
(-0.209573,0.492564,0.431488);(0.000000,0.541499,0.402933);(0.000000,0.533944,0.431488)
(-0.397980,0.397980,0.431488);(-0.227720,0.535213,0.402933);(-0.411926,0.411926,0.402933)
(-0.385322,0.385322,0.441007);(-0.220010,0.517094,0.431488);(-0.397980,0.397980,0.431488)
(-0.379100,0.379100,0.431488);(-0.213013,0.500648,0.441007);(-0.385322,0.385322,0.441007)
(-0.379100,0.379100,0.431488);(-0.212538,0.499533,0.402933);(-0.209573,0.492564,0.431488)
(-0.535213,0.227720,0.402933);(-0.397980,0.397980,0.431488);(-0.411926,0.411926,0.402933)
(-0.517094,0.220010,0.431488);(-0.385322,0.385322,0.441007);(-0.397980,0.397980,0.431488)
(-0.500648,0.213013,0.441007);(-0.379100,0.379100,0.431488);(-0.385322,0.385322,0.441007)
(-0.499533,0.212538,0.402933);(-0.379100,0.379100,0.431488);(-0.492564,0.209573,0.431488)
(-0.580177,0.000000,0.402933);(-0.517094,0.220010,0.431488);(-0.535213,0.227720,0.402933)
(-0.560536,0.000000,0.431488);(-0.500648,0.213013,0.441007);(-0.517094,0.220010,0.431488)
(-0.542707,0.000000,0.441007);(-0.492564,0.209573,0.431488);(-0.500648,0.213013,0.441007)
(-0.541499,0.000000,0.402933);(-0.492564,0.209573,0.431488);(-0.533944,0.000000,0.431488)
(0.517094,0.220010,0.431488);(0.580177,0.000000,0.402933);(0.535213,0.227720,0.402933)
(0.500648,0.213013,0.441007);(0.560536,0.000000,0.431488);(0.517094,0.220010,0.431488)
(0.492564,0.209573,0.431488);(0.542707,0.000000,0.441007);(0.500648,0.213013,0.441007)
(0.492564,0.209573,0.431488);(0.541499,0.000000,0.402933);(0.533944,0.000000,0.431488)
(0.397980,0.397980,0.431488);(0.535213,0.227720,0.402933);(0.411926,0.411926,0.402933)
(0.385322,0.385322,0.441007);(0.517094,0.220010,0.431488);(0.397980,0.397980,0.431488)
(0.379100,0.379100,0.431488);(0.500648,0.213013,0.441007);(0.385322,0.385322,0.441007)
(0.379100,0.379100,0.431488);(0.499533,0.212538,0.402933);(0.492564,0.209573,0.431488)
(0.227720,0.535213,0.402933);(0.397980,0.397980,0.431488);(0.411926,0.411926,0.402933)
(0.220010,0.517094,0.431488);(0.385322,0.385322,0.441007);(0.397980,0.397980,0.431488)
(0.213013,0.500648,0.441007);(0.379100,0.379100,0.431488);(0.385322,0.385322,0.441007)
(0.212538,0.499533,0.402933);(0.379100,0.379100,0.431488);(0.209573,0.492564,0.431488)
(0.000000,0.580177,0.402933);(0.220010,0.517094,0.431488);(0.227720,0.535213,0.402933)
(0.000000,0.560536,0.431488);(0.213013,0.500648,0.441007);(0.220010,0.517094,0.431488)
(0.000000,0.542707,0.441007);(0.209573,0.492564,0.431488);(0.213013,0.500648,0.441007)
(0.000000,0.541499,0.402933);(0.209573,0.492564,0.431488);(0.000000,0.533944,0.431488)
(0.297103,-0.698286,-0.041719);(0.000000,-0.773570,-0.177245);(0.303626,-0.713618,-0.177245)
(0.279905,-0.657867,0.101966);(0.000000,-0.756950,-0.041719);(0.297103,-0.698286,-0.041719)
(0.255591,-0.600721,0.251089);(0.000000,-0.713134,0.101966);(0.279905,-0.657867,0.101966)
(0.227720,-0.535213,0.402933);(0.000000,-0.651188,0.251089);(0.255591,-0.600721,0.251089)
