(1.000000,0.000000,0.000000);(0.000000,0.000000,-0.800000);(0.707106,0.707107,0.000000)
(0.000000,0.000000,-0.800000);(1.000000,0.000000,0.000000);(0.707107,-0.707107,0.000000)
(0.000000,0.000000,-0.800000);(0.707107,-0.707107,0.000000);(0.000000,-1.000000,0.000000)
(0.000000,0.000000,-0.800000);(0.000000,-1.000000,0.000000);(-0.707107,-0.707107,0.000000)
(0.000000,0.000000,-0.800000);(-0.707107,-0.707107,0.000000);(-1.000000,-0.000000,0.000000)
(0.000000,0.000000,-0.800000);(-1.000000,-0.000000,0.000000);(-0.707107,0.707107,0.000000)
(0.000000,0.000000,-0.800000);(-0.707107,0.707107,0.000000);(0.000000,1.000000,0.000000)
(0.000000,0.000000,-0.800000);(0.000000,1.000000,0.000000);(0.707106,0.707107,0.000000)
(1.000000,0.000000,0.000000);(0.424264,0.424264,0.350000);(0.600000,0.000000,0.350000)
(0.600000,0.000000,0.350000);(0.707107,-0.707107,0.000000);(1.000000,0.000000,0.000000)
(0.424264,-0.424264,0.350000);(0.000000,-1.000000,0.000000);(0.707107,-0.707107,0.000000)
(0.000000,-1.000000,0.000000);(-0.424264,-0.424264,0.350000);(-0.707107,-0.707107,0.000000)
(-0.424264,-0.424264,0.350000);(-1.000000,-0.000000,0.000000);(-0.707107,-0.707107,0.000000)
(-0.600000,-0.000000,0.350000);(-0.707107,0.707107,0.000000);(-1.000000,-0.000000,0.000000)
(-0.707107,0.707107,0.000000);(0.000000,0.600000,0.350000);(0.000000,1.000000,0.000000)
(0.000000,0.600000,0.350000);(0.707106,0.707107,0.000000);(0.000000,1.000000,0.000000)
(0.000000,0.000000,0.350000);(0.600000,0.000000,0.350000);(0.424264,0.424264,0.350000)
(0.600000,0.000000,0.350000);(0.000000,0.000000,0.350000);(0.424264,-0.424264,0.350000)
(0.424264,-0.424264,0.350000);(0.000000,0.000000,0.350000);(0.000000,-0.600000,0.350000)
(0.000000,-0.600000,0.350000);(0.000000,0.000000,0.350000);(-0.424264,-0.424264,0.350000)
(-0.424264,-0.424264,0.350000);(0.000000,0.000000,0.350000);(-0.600000,-0.000000,0.350000)
(-0.600000,-0.000000,0.350000);(0.000000,0.000000,0.350000);(-0.424264,0.424264,0.350000)
(-0.424264,0.424264,0.350000);(0.000000,0.000000,0.350000);(0.000000,0.600000,0.350000)
(0.000000,0.600000,0.350000);(0.000000,0.000000,0.350000);(0.424264,0.424264,0.350000)
(1.000000,0.000000,0.000000);(0.707106,0.707107,0.000000);(0.424264,0.424264,0.350000)
(0.600000,0.000000,0.350000);(0.424264,-0.424264,0.350000);(0.707107,-0.707107,0.000000)
(0.424264,-0.424264,0.350000);(0.000000,-0.600000,0.350000);(0.000000,-1.000000,0.000000)
(0.000000,-1.000000,0.000000);(0.000000,-0.600000,0.350000);(-0.424264,-0.424264,0.350000)
(-0.424264,-0.424264,0.350000);(-0.600000,-0.000000,0.350000);(-1.000000,-0.000000,0.000000)
(-0.600000,-0.000000,0.350000);(-0.424264,0.424264,0.350000);(-0.707107,0.707107,0.000000)
(-0.707107,0.707107,0.000000);(-0.424264,0.424264,0.350000);(0.000000,0.600000,0.350000)
(0.000000,0.600000,0.350000);(0.424264,0.424264,0.350000);(0.707106,0.707107,0.000000)
