(0.000000,0.394730,-0.394730);(0.151057,0.151057,-0.515740);(0.000000,0.213626,-0.515740)
(0.000000,0.558233,0.000000);(0.364683,0.364683,-0.213626);(0.000000,0.515740,-0.213626)
(0.000000,0.515740,0.213626);(0.279116,0.279116,0.394730);(0.364683,0.364683,0.213626)
(0.000000,0.213626,0.515740);(0.000000,0.000000,0.558233);(0.151057,0.151057,0.515740)
(0.000000,0.000000,-0.558233);(0.000000,0.213626,-0.515740);(0.151057,0.151057,-0.515740)
(0.000000,0.515740,-0.213626);(0.279116,0.279116,-0.394730);(0.000000,0.394730,-0.394730)
(0.000000,0.515740,0.213626);(0.394730,0.394730,0.000000);(0.000000,0.558233,0.000000)
(0.000000,0.213626,0.515740);(0.279116,0.279116,0.394730);(0.000000,0.394730,0.394730)
(0.279116,0.279116,0.394730);(0.515740,0.000000,0.213626);(0.364683,0.364683,0.213626)
(0.151057,0.151057,0.515740);(0.000000,0.000000,0.558233);(0.213626,0.000000,0.515740)
(0.000000,0.000000,-0.558233);(0.151057,0.151057,-0.515740);(0.213626,0.000000,-0.515740)
(0.279116,0.279116,-0.394730);(0.515740,0.000000,-0.213626);(0.394730,0.000000,-0.394730)
(0.364683,0.364683,0.213626);(0.558233,0.000000,0.000000);(0.394730,0.394730,0.000000)
(0.151057,0.151057,0.515740);(0.394730,0.000000,0.394730);(0.279116,0.279116,0.394730)
(0.279116,0.279116,-0.394730);(0.213626,0.000000,-0.515740);(0.151057,0.151057,-0.515740)
(0.364683,0.364683,-0.213626);(0.558233,0.000000,0.000000);(0.515740,0.000000,-0.213626)
(0.000000,0.000000,-0.558233);(0.213626,0.000000,-0.515740);(0.151057,-0.151057,-0.515740)
(0.515740,0.000000,-0.213626);(0.279116,-0.279116,-0.394730);(0.394730,0.000000,-0.394730)
(0.515740,0.000000,0.213626);(0.394730,-0.394730,0.000000);(0.558233,0.000000,0.000000)
(0.213626,0.000000,0.515740);(0.279116,-0.279116,0.394730);(0.394730,0.000000,0.394730)
(0.213626,0.000000,-0.515740);(0.279116,-0.279116,-0.394730);(0.151057,-0.151057,-0.515740)
(0.558233,0.000000,0.000000);(0.364683,-0.364683,-0.213626);(0.515740,0.000000,-0.213626)
(0.394730,0.000000,0.394730);(0.364683,-0.364683,0.213626);(0.515740,0.000000,0.213626)
(0.213626,0.000000,0.515740);(0.000000,0.000000,0.558233);(0.151057,-0.151057,0.515740)
(0.279116,-0.279116,0.394730);(0.000000,-0.213626,0.515740);(0.000000,-0.394730,0.394730)
(0.279116,-0.279116,-0.394730);(0.000000,-0.213626,-0.515740);(0.151057,-0.151057,-0.515740)
(0.394730,-0.394730,0.000000);(0.000000,-0.515740,-0.213626);(0.364683,-0.364683,-0.213626)
(0.279116,-0.279116,0.394730);(0.000000,-0.515740,0.213626);(0.364683,-0.364683,0.213626)
(0.151057,-0.151057,0.515740);(0.000000,0.000000,0.558233);(0.000000,-0.213626,0.515740)
(0.000000,0.000000,-0.558233);(0.151057,-0.151057,-0.515740);(0.000000,-0.213626,-0.515740)
(0.279116,-0.279116,-0.394730);(0.000000,-0.515740,-0.213626);(0.000000,-0.394730,-0.394730)
(0.364683,-0.364683,0.213626);(0.000000,-0.558233,0.000000);(0.394730,-0.394730,0.000000)
(0.000000,-0.213626,-0.515740);(-0.279116,-0.279116,-0.394730);(-0.151057,-0.151057,-0.515740)
(0.000000,-0.558233,0.000000);(-0.364683,-0.364683,-0.213626);(0.000000,-0.515740,-0.213626)
(0.000000,-0.515740,0.213626);(-0.279116,-0.279116,0.394730);(-0.364683,-0.364683,0.213626)
(0.000000,-0.213626,0.515740);(0.000000,0.000000,0.558233);(-0.151057,-0.151057,0.515740)
(0.000000,0.000000,-0.558233);(0.000000,-0.213626,-0.515740);(-0.151057,-0.151057,-0.515740)
(0.000000,-0.515740,-0.213626);(-0.279116,-0.279116,-0.394730);(0.000000,-0.394730,-0.394730)
(0.000000,-0.515740,0.213626);(-0.394730,-0.394730,0.000000);(0.000000,-0.558233,0.000000)
(0.000000,-0.213626,0.515740);(-0.279116,-0.279116,0.394730);(0.000000,-0.394730,0.394730)
(-0.151057,-0.151057,0.515740);(0.000000,0.000000,0.558233);(-0.213626,0.000000,0.515740)
(0.000000,0.000000,-0.558233);(-0.151057,-0.151057,-0.515740);(-0.213626,0.000000,-0.515740)
(-0.279116,-0.279116,-0.394730);(-0.515740,0.000000,-0.213626);(-0.394730,0.000000,-0.394730)
(-0.364683,-0.364683,0.213626);(-0.558233,0.000000,0.000000);(-0.394730,-0.394730,0.000000)
(-0.279116,-0.279116,0.394730);(-0.213626,0.000000,0.515740);(-0.394730,0.000000,0.394730)
(-0.279116,-0.279116,-0.394730);(-0.213626,0.000000,-0.515740);(-0.151057,-0.151057,-0.515740)
(-0.394730,-0.394730,0.000000);(-0.515740,0.000000,-0.213626);(-0.364683,-0.364683,-0.213626)
(-0.279116,-0.279116,0.394730);(-0.515740,0.000000,0.213626);(-0.364683,-0.364683,0.213626)
